Fold	Value	Type	Metric
repeat4_fold3	0.6347706049738093	Trainset-only	AUPR
repeat4_fold4	0.6387946550265426	Trainset-only	AUPR
repeat0_fold0	0.7749221568113234	Testset-only	AUPR
repeat0_fold1	0.7742673383655363	Testset-only	AUPR
repeat0_fold2	0.7755559229416922	Testset-only	AUPR
repeat0_fold3	0.7886750774574052	Testset-only	AUPR
repeat0_fold4	0.7756021270622957	Testset-only	AUPR
repeat1_fold0	0.7275051396399649	Testset-only	AUPR
repeat1_fold1	0.7695384036398387	Testset-only	AUPR
repeat1_fold2	0.7755629329816368	Testset-only	AUPR
repeat1_fold3	0.7745210661555363	Testset-only	AUPR
repeat1_fold4	0.7547616719907169	Testset-only	AUPR
repeat2_fold0	0.7718504591889387	Testset-only	AUPR
repeat2_fold1	0.7749179244516256	Testset-only	AUPR
repeat2_fold2	0.7818828315313746	Testset-only	AUPR
repeat2_fold3	0.7787514319912299	Testset-only	AUPR
repeat2_fold4	0.7959469346312313	Testset-only	AUPR
repeat3_fold0	0.7743848131231943	Testset-only	AUPR
repeat3_fold1	0.7789289137029405	Testset-only	AUPR
repeat3_fold2	0.7640937204256075	Testset-only	AUPR
repeat3_fold3	0.7794466794084455	Testset-only	AUPR
repeat3_fold4	0.775134841576286	Testset-only	AUPR
repeat4_fold0	0.787686016919835	Testset-only	AUPR
repeat4_fold1	0.7713266748569955	Testset-only	AUPR
repeat4_fold2	0.7684757725066674	Testset-only	AUPR
repeat4_fold3	0.7918732981268831	Testset-only	AUPR
repeat4_fold4	0.7841727885219161	Testset-only	AUPR
repeat0_fold0	0.7776513368317403	Clustered	AUPR
repeat0_fold1	0.7734582115519864	Clustered	AUPR
repeat0_fold2	0.7767508317386552	Clustered	AUPR
repeat0_fold3	0.7462760140754751	Clustered	AUPR
repeat0_fold4	0.781620781401317	Clustered	AUPR
repeat1_fold0	0.7577292424918532	Clustered	AUPR
repeat1_fold1	0.7929931247826515	Clustered	AUPR
repeat1_fold2	0.7704648679437708	Clustered	AUPR
repeat1_fold3	0.7682105768326026	Clustered	AUPR
repeat1_fold4	0.769994905432671	Clustered	AUPR
repeat2_fold0	0.7432699349332226	Clustered	AUPR
repeat2_fold1	0.7766812646705655	Clustered	AUPR
repeat2_fold2	0.7792083292507141	Clustered	AUPR
repeat2_fold3	0.7788544821319972	Clustered	AUPR
repeat2_fold4	0.7729582339350372	Clustered	AUPR
repeat3_fold0	0.7691305792377248	Clustered	AUPR
repeat3_fold1	0.7711010240753241	Clustered	AUPR
repeat3_fold2	0.7690252338544883	Clustered	AUPR
repeat3_fold3	0.7585243809722582	Clustered	AUPR
repeat3_fold4	0.7740636304164265	Clustered	AUPR
repeat4_fold0	0.7480089386654905	Clustered	AUPR
repeat4_fold1	0.7777720774851256	Clustered	AUPR
repeat4_fold2	0.785112750289028	Clustered	AUPR
repeat4_fold3	0.7654100307242819	Clustered	AUPR
repeat4_fold4	0.7864226839705121	Clustered	AUPR
repeat0_fold0	0.6042	Original	PPV
repeat0_fold1	0.6108	Original	PPV
repeat0_fold2	0.5833	Original	PPV
repeat0_fold3	0.6263	Original	PPV
repeat0_fold4	0.5884	Original	PPV
repeat1_fold0	0.6002	Original	PPV
repeat1_fold1	0.5961	Original	PPV
repeat1_fold2	0.5978	Original	PPV
repeat1_fold3	0.5997	Original	PPV
repeat1_fold4	0.5941	Original	PPV
repeat2_fold0	0.6240	Original	PPV
repeat2_fold1	0.6003	Original	PPV
repeat2_fold2	0.5964	Original	PPV
repeat2_fold3	0.6096	Original	PPV
repeat2_fold4	0.6025	Original	PPV
repeat3_fold0	0.6011	Original	PPV
repeat3_fold1	0.6067	Original	PPV
repeat3_fold2	0.6047	Original	PPV
repeat3_fold3	0.6027	Original	PPV
repeat3_fold4	0.6051	Original	PPV
repeat4_fold0	0.6088	Original	PPV
repeat4_fold1	0.6060	Original	PPV
repeat4_fold2	0.5928	Original	PPV
repeat4_fold3	0.6227	Original	PPV
repeat4_fold4	0.6310	Original	PPV
repeat0_fold0	0.6478	Trainset-only	PPV
repeat0_fold1	0.6408	Trainset-only	PPV
repeat0_fold2	0.6241	Trainset-only	PPV
repeat0_fold3	0.6399	Trainset-only	PPV
repeat0_fold4	0.6338	Trainset-only	PPV
repeat1_fold0	0.6238	Trainset-only	PPV
repeat1_fold1	0.6108	Trainset-only	PPV
repeat1_fold2	0.6312	Trainset-only	PPV
repeat1_fold3	0.6408	Trainset-only	PPV
repeat1_fold4	0.6228	Trainset-only	PPV
repeat2_fold0	0.6403	Trainset-only	PPV
repeat2_fold1	0.6118	Trainset-only	PPV
repeat2_fold2	0.6356	Trainset-only	PPV
repeat2_fold3	0.6287	Trainset-only	PPV
repeat2_fold4	0.6132	Trainset-only	PPV
repeat3_fold0	0.6276	Trainset-only	PPV
repeat3_fold1	0.6240	Trainset-only	PPV
repeat3_fold2	0.6212	Trainset-only	PPV
repeat3_fold3	0.6397	Trainset-only	PPV
repeat3_fold4	0.6344	Trainset-only	PPV
repeat4_fold0	0.6349	Trainset-only	PPV
repeat4_fold1	0.6133	Trainset-only	PPV
repeat4_fold2	0.6254	Trainset-only	PPV
repeat4_fold3	0.6655	Trainset-only	PPV
repeat4_fold4	0.6427	Trainset-only	PPV
repeat0_fold0	0.6739	Testset-only	PPV
repeat0_fold1	0.6911	Testset-only	PPV
repeat0_fold2	0.6448	Testset-only	PPV
repeat0_fold3	0.7212	Testset-only	PPV
repeat0_fold4	0.6552	Testset-only	PPV
repeat1_fold0	0.6678	Testset-only	PPV
repeat1_fold1	0.6673	Testset-only	PPV
repeat1_fold2	0.6632	Testset-only	PPV
repeat1_fold3	0.6799	Testset-only	PPV
repeat1_fold4	0.6479	Testset-only	PPV
repeat2_fold0	0.7119	Testset-only	PPV
repeat2_fold1	0.6667	Testset-only	PPV
repeat2_fold2	0.6671	Testset-only	PPV
repeat2_fold3	0.6849	Testset-only	PPV
repeat2_fold4	0.6800	Testset-only	PPV
repeat3_fold0	0.6726	Testset-only	PPV
repeat3_fold1	0.6870	Testset-only	PPV
repeat3_fold2	0.6774	Testset-only	PPV
repeat3_fold3	0.6592	Testset-only	PPV
repeat3_fold4	0.6679	Testset-only	PPV
repeat4_fold0	0.7080	Testset-only	PPV
repeat4_fold1	0.6830	Testset-only	PPV
repeat4_fold2	0.6626	Testset-only	PPV
repeat4_fold3	0.7189	Testset-only	PPV
repeat4_fold4	0.7287	Testset-only	PPV
repeat0_fold0	0.7612	Clustered	PPV
repeat0_fold1	0.7316	Clustered	PPV
repeat0_fold2	0.7261	Clustered	PPV
repeat0_fold3	0.7355	Clustered	PPV
repeat0_fold4	0.7372	Clustered	PPV
repeat1_fold0	0.7041	Clustered	PPV
repeat1_fold1	0.7029	Clustered	PPV
repeat1_fold2	0.7302	Clustered	PPV
repeat1_fold3	0.7300	Clustered	PPV
repeat1_fold4	0.7241	Clustered	PPV
repeat2_fold0	0.7244	Clustered	PPV
repeat2_fold1	0.7154	Clustered	PPV
repeat2_fold2	0.7329	Clustered	PPV
repeat2_fold3	0.7247	Clustered	PPV
repeat2_fold4	0.7218	Clustered	PPV
repeat3_fold0	0.7302	Clustered	PPV
repeat3_fold1	0.7106	Clustered	PPV
repeat3_fold2	0.7015	Clustered	PPV
repeat3_fold3	0.7346	Clustered	PPV
repeat3_fold4	0.7481	Clustered	PPV
repeat4_fold0	0.7214	Clustered	PPV
repeat4_fold1	0.7224	Clustered	PPV
repeat4_fold2	0.7170	Clustered	PPV
repeat4_fold3	0.7474	Clustered	PPV
repeat4_fold4	0.7552	Clustered	PPV
