Fold	Value	Type	Metric
repeat1_fold2	0.6568091336011412	Clustered	AUPR
repeat1_fold3	0.6931725893303555	Clustered	AUPR
repeat1_fold4	0.683139357962546	Clustered	AUPR
repeat2_fold0	0.6776783044848225	Clustered	AUPR
repeat2_fold1	0.6707738015168818	Clustered	AUPR
repeat2_fold2	0.6839279046733141	Clustered	AUPR
repeat2_fold3	0.6769464098304446	Clustered	AUPR
repeat2_fold4	0.6795570576554175	Clustered	AUPR
repeat3_fold0	0.6831069771365741	Clustered	AUPR
repeat3_fold1	0.6833635495281037	Clustered	AUPR
repeat3_fold2	0.6777013506979914	Clustered	AUPR
repeat3_fold3	0.6793455116640292	Clustered	AUPR
repeat3_fold4	0.6928711844939416	Clustered	AUPR
repeat4_fold0	0.67252511511982	Clustered	AUPR
repeat4_fold1	0.6690731697012648	Clustered	AUPR
repeat4_fold2	0.6646642000875345	Clustered	AUPR
repeat4_fold3	0.6694539875044706	Clustered	AUPR
repeat4_fold4	0.6784589290014054	Clustered	AUPR
repeat0_fold0	0.5822	Original	PPV
repeat0_fold1	0.5973	Original	PPV
repeat0_fold2	0.5710	Original	PPV
repeat0_fold3	0.5865	Original	PPV
repeat0_fold4	0.5974	Original	PPV
repeat1_fold0	0.5851	Original	PPV
repeat1_fold1	0.5871	Original	PPV
repeat1_fold2	0.5890	Original	PPV
repeat1_fold3	0.5871	Original	PPV
repeat1_fold4	0.6008	Original	PPV
repeat2_fold0	0.5909	Original	PPV
repeat2_fold1	0.5933	Original	PPV
repeat2_fold2	0.5808	Original	PPV
repeat2_fold3	0.5845	Original	PPV
repeat2_fold4	0.5872	Original	PPV
repeat3_fold0	0.5845	Original	PPV
repeat3_fold1	0.5864	Original	PPV
repeat3_fold2	0.5880	Original	PPV
repeat3_fold3	0.5808	Original	PPV
repeat3_fold4	0.5867	Original	PPV
repeat4_fold0	0.5798	Original	PPV
repeat4_fold1	0.5829	Original	PPV
repeat4_fold2	0.5833	Original	PPV
repeat4_fold3	0.5764	Original	PPV
repeat4_fold4	0.5809	Original	PPV
repeat0_fold0	0.5964	Trainset-only	PPV
repeat0_fold1	0.5928	Trainset-only	PPV
repeat0_fold2	0.5873	Trainset-only	PPV
repeat0_fold3	0.6054	Trainset-only	PPV
repeat0_fold4	0.5976	Trainset-only	PPV
repeat1_fold0	0.5934	Trainset-only	PPV
repeat1_fold1	0.6010	Trainset-only	PPV
repeat1_fold2	0.5924	Trainset-only	PPV
repeat1_fold3	0.5928	Trainset-only	PPV
repeat1_fold4	0.5800	Trainset-only	PPV
repeat2_fold0	0.5942	Trainset-only	PPV
repeat2_fold1	0.5954	Trainset-only	PPV
repeat2_fold2	0.5934	Trainset-only	PPV
repeat2_fold3	0.6025	Trainset-only	PPV
repeat2_fold4	0.5935	Trainset-only	PPV
repeat3_fold0	0.5978	Trainset-only	PPV
repeat3_fold1	0.6050	Trainset-only	PPV
repeat3_fold2	0.5911	Trainset-only	PPV
repeat3_fold3	0.5868	Trainset-only	PPV
repeat3_fold4	0.5989	Trainset-only	PPV
repeat4_fold0	0.5908	Trainset-only	PPV
repeat4_fold1	0.5932	Trainset-only	PPV
repeat4_fold2	0.5933	Trainset-only	PPV
repeat4_fold3	0.5883	Trainset-only	PPV
repeat4_fold4	0.5909	Trainset-only	PPV
repeat0_fold0	0.6469	Testset-only	PPV
repeat0_fold1	0.6510	Testset-only	PPV
repeat0_fold2	0.6112	Testset-only	PPV
repeat0_fold3	0.6416	Testset-only	PPV
repeat0_fold4	0.6522	Testset-only	PPV
repeat1_fold0	0.6366	Testset-only	PPV
repeat1_fold1	0.6422	Testset-only	PPV
repeat1_fold2	0.6640	Testset-only	PPV
repeat1_fold3	0.6380	Testset-only	PPV
repeat1_fold4	0.6638	Testset-only	PPV
repeat2_fold0	0.6485	Testset-only	PPV
repeat2_fold1	0.6271	Testset-only	PPV
repeat2_fold2	0.6263	Testset-only	PPV
repeat2_fold3	0.6470	Testset-only	PPV
repeat2_fold4	0.6422	Testset-only	PPV
repeat3_fold0	0.6187	Testset-only	PPV
repeat3_fold1	0.6454	Testset-only	PPV
repeat3_fold2	0.6480	Testset-only	PPV
repeat3_fold3	0.6434	Testset-only	PPV
repeat3_fold4	0.6360	Testset-only	PPV
repeat4_fold0	0.6313	Testset-only	PPV
