Fold	Value	Type	Metric
repeat0_fold4	0.6205	Original	PPV
repeat1_fold0	0.6133	Original	PPV
repeat1_fold1	0.5708	Original	PPV
repeat1_fold2	0.6137	Original	PPV
repeat1_fold3	0.5705	Original	PPV
repeat1_fold4	0.5700	Original	PPV
repeat2_fold0	0.5833	Original	PPV
repeat2_fold1	0.5807	Original	PPV
repeat2_fold2	0.6129	Original	PPV
repeat2_fold3	0.6130	Original	PPV
repeat2_fold4	0.5803	Original	PPV
repeat3_fold0	0.5542	Original	PPV
repeat3_fold1	0.5666	Original	PPV
repeat3_fold2	0.5980	Original	PPV
repeat3_fold3	0.6089	Original	PPV
repeat3_fold4	0.6087	Original	PPV
repeat4_fold0	0.6130	Original	PPV
repeat4_fold1	0.5637	Original	PPV
repeat4_fold2	0.5607	Original	PPV
repeat4_fold3	0.5677	Original	PPV
repeat4_fold4	0.6157	Original	PPV
repeat0_fold0	0.6385	Trainset-only	PPV
repeat0_fold1	0.5620	Trainset-only	PPV
repeat0_fold2	0.6578	Trainset-only	PPV
repeat0_fold3	0.5586	Trainset-only	PPV
repeat0_fold4	0.6221	Trainset-only	PPV
repeat1_fold0	0.6543	Trainset-only	PPV
repeat1_fold1	0.6470	Trainset-only	PPV
repeat1_fold2	0.6407	Trainset-only	PPV
repeat1_fold3	0.5428	Trainset-only	PPV
repeat1_fold4	0.6350	Trainset-only	PPV
repeat2_fold0	0.6387	Trainset-only	PPV
repeat2_fold1	0.6240	Trainset-only	PPV
repeat2_fold2	0.6345	Trainset-only	PPV
repeat2_fold3	0.6405	Trainset-only	PPV
repeat2_fold4	0.5493	Trainset-only	PPV
repeat3_fold0	0.6506	Trainset-only	PPV
repeat3_fold1	0.6353	Trainset-only	PPV
repeat3_fold2	0.5489	Trainset-only	PPV
repeat3_fold3	0.6483	Trainset-only	PPV
repeat3_fold4	0.6375	Trainset-only	PPV
repeat4_fold0	0.6321	Trainset-only	PPV
repeat4_fold1	0.6285	Trainset-only	PPV
repeat4_fold2	0.6391	Trainset-only	PPV
repeat4_fold3	0.5586	Trainset-only	PPV
repeat4_fold4	0.6273	Trainset-only	PPV
repeat0_fold0	0.6815	Testset-only	PPV
repeat0_fold1	0.6466	Testset-only	PPV
repeat0_fold2	0.6987	Testset-only	PPV
repeat0_fold3	0.6378	Testset-only	PPV
repeat0_fold4	0.6880	Testset-only	PPV
repeat1_fold0	0.6905	Testset-only	PPV
repeat1_fold1	0.6317	Testset-only	PPV
repeat1_fold2	0.6937	Testset-only	PPV
repeat1_fold3	0.6350	Testset-only	PPV
repeat1_fold4	0.6401	Testset-only	PPV
repeat2_fold0	0.6322	Testset-only	PPV
repeat2_fold1	0.6424	Testset-only	PPV
repeat2_fold2	0.6872	Testset-only	PPV
repeat2_fold3	0.6791	Testset-only	PPV
repeat2_fold4	0.6445	Testset-only	PPV
repeat3_fold0	0.5859	Testset-only	PPV
repeat3_fold1	0.6225	Testset-only	PPV
repeat3_fold2	0.6879	Testset-only	PPV
repeat3_fold3	0.6807	Testset-only	PPV
repeat3_fold4	0.6876	Testset-only	PPV
repeat4_fold0	0.6809	Testset-only	PPV
repeat4_fold1	0.6141	Testset-only	PPV
repeat4_fold2	0.6211	Testset-only	PPV
repeat4_fold3	0.6494	Testset-only	PPV
repeat4_fold4	0.7052	Testset-only	PPV
repeat0_fold0	0.7421	Clustered	PPV
repeat0_fold1	0.6440	Clustered	PPV
repeat0_fold2	0.7516	Clustered	PPV
repeat0_fold3	0.6307	Clustered	PPV
repeat0_fold4	0.7493	Clustered	PPV
repeat1_fold0	0.7719	Clustered	PPV
repeat1_fold1	0.7382	Clustered	PPV
repeat1_fold2	0.7368	Clustered	PPV
repeat1_fold3	0.6059	Clustered	PPV
repeat1_fold4	0.7579	Clustered	PPV
repeat2_fold0	0.7565	Clustered	PPV
repeat2_fold1	0.7279	Clustered	PPV
repeat2_fold2	0.7297	Clustered	PPV
repeat2_fold3	0.7379	Clustered	PPV
repeat2_fold4	0.6157	Clustered	PPV
repeat3_fold0	0.7674	Clustered	PPV
repeat3_fold1	0.7354	Clustered	PPV
repeat3_fold2	0.6181	Clustered	PPV
repeat3_fold3	0.7397	Clustered	PPV
repeat3_fold4	0.7611	Clustered	PPV
repeat4_fold0	0.7431	Clustered	PPV
repeat4_fold1	0.7457	Clustered	PPV
repeat4_fold2	0.7447	Clustered	PPV
repeat4_fold3	0.6299	Clustered	PPV
repeat4_fold4	0.7444	Clustered	PPV
